"Дата","Price","Откр.","Макс.","Мин.","Объём","Изм. %"
"28 сент. 2021 г.","135,83","138,66","139,10","135,36","45,77M","-3,71%"
"27 сент. 2021 г.","141,07","140,80","141,94","140,07","21,88M","-0,81%"
"24 сент. 2021 г.","142,22","140,54","142,33","140,24","22,98M","0,71%"
"23 сент. 2021 г.","141,22","140,99","141,70","140,40","20,95M","0,67%"
"22 сент. 2021 г.","140,28","139,30","140,89","138,55","25,06M","0,90%"
"21 сент. 2021 г.","139,03","139,75","140,01","138,28","25,33M","0,22%"
"20 сент. 2021 г.","138,72","138,16","139,00","136,32","46,52M","-1,48%"
"17 сент. 2021 г.","140,80","143,03","143,45","140,47","53,38M","-1,96%"
"16 сент. 2021 г.","143,61","143,95","144,30","142,40","26,20M","-0,57%"
"15 сент. 2021 г.","144,43","142,77","144,45","141,35","27,41M","1,33%"
"14 сент. 2021 г.","142,54","143,00","143,36","141,75","19,67M","0,15%"
"13 сент. 2021 г.","142,33","141,95","142,95","141,25","22,09M","1,03%"
"10 сент. 2021 г.","140,88","144,21","144,72","140,74","36,84M","-1,85%"
"09 сент. 2021 г.","143,54","143,84","144,31","143,18","15,32M","-0,10%"
"08 сент. 2021 г.","143,69","144,10","144,40","143,00","18,35M","-0,41%"
"07 сент. 2021 г.","144,28","143,83","144,56","143,62","20,13M","0,38%"
"03 сент. 2021 г.","143,74","143,08","144,16","142,40","19,85M","0,31%"
"02 сент. 2021 г.","143,29","145,22","145,52","143,18","32,36M","-1,33%"
"01 сент. 2021 г.","145,22","145,00","146,25","144,88","21,94M","0,36%"
"31 авг. 2021 г.","144,70","145,15","145,17","144,28","22,45M","0,08%"
"30 авг. 2021 г.","144,59","144,40","145,97","144,16","24,43M","0,41%"
"27 авг. 2021 г.","144,00","141,65","144,51","141,50","28,78M","1,81%"
"26 авг. 2021 г.","141,44","141,75","142,42","141,36","20,61M","-0,45%"
"25 авг. 2021 г.","142,08","141,62","142,19","141,38","15,85M","0,58%"
"24 авг. 2021 г.","141,26","140,61","142,08","140,34","19,27M","0,87%"
"23 авг. 2021 г.","140,04","137,97","140,87","137,61","28,45M","1,90%"
"20 авг. 2021 г.","137,43","136,00","137,55","135,25","31,19M","1,29%"
"19 авг. 2021 г.","135,68","134,44","136,35","134,25","21,78M","0,17%"
"18 авг. 2021 г.","135,45","136,50","137,10","135,32","19,26M","-0,89%"
"17 авг. 2021 г.","136,66","137,75","138,27","136,08","21,72M","-1,19%"
"16 авг. 2021 г.","138,31","137,52","138,36","135,30","22,40M","0,42%"
"13 авг. 2021 г.","137,73","137,25","137,86","137,03","15,95M","0,39%"
"12 авг. 2021 г.","137,19","135,98","137,30","135,43","16,52M","0,67%"
"11 авг. 2021 г.","136,28","137,18","137,68","136,27","15,35M","-0,39%"
"10 авг. 2021 г.","136,81","137,34","137,77","136,36","19,41M","-0,07%"
"09 авг. 2021 г.","136,91","135,94","137,18","135,34","17,77M","0,86%"
"06 авг. 2021 г.","135,74","136,04","136,47","135,21","20,49M","-0,37%"
"05 авг. 2021 г.","136,25","135,68","136,35","134,85","17,87M","0,83%"
"04 авг. 2021 г.","135,13","135,35","135,65","134,49","19,68M","-0,37%"
"03 авг. 2021 г.","135,63","135,13","135,73","133,32","20,76M","0,58%"
"02 авг. 2021 г.","134,85","135,12","135,34","133,79","21,63M","0,09%"
"30 июл. 2021 г.","134,73","135,03","135,30","134,25","25,58M","-0,77%"
"29 июл. 2021 г.","135,78","136,15","136,66","135,54","31,72M","-0,23%"
"28 июл. 2021 г.","136,09","136,31","138,30","135,28","95,13M","3,18%"
"27 июл. 2021 г.","131,90","134,25","134,40","130,10","54,71M","-1,59%"
"26 июл. 2021 г.","134,03","133,33","134,24","132,30","30,57M","0,77%"
"23 июл. 2021 г.","133,01","130,43","133,40","129,80","41,51M","3,57%"
"22 июл. 2021 г.","128,42","127,84","128,48","127,50","14,30M","0,68%"
"21 июл. 2021 г.","127,55","126,13","127,60","126,02","20,75M","1,06%"
"20 июл. 2021 г.","126,21","125,53","127,04","124,35","26,32M","1,31%"
"19 июл. 2021 г.","124,58","126,09","126,20","123,50","27,97M","-1,88%"
"16 июл. 2021 г.","126,97","127,66","127,81","126,15","20,42M","-0,02%"
"15 июл. 2021 г.","127,00","128,65","128,70","126,53","24,22M","-0,97%"
"14 июл. 2021 г.","128,24","127,96","129,33","127,91","23,75M","0,71%"
"13 июл. 2021 г.","127,34","127,04","128,06","126,67","19,25M","0,28%"
"12 июл. 2021 г.","126,98","126,18","127,07","125,61","17,67M","1,16%"
"09 июл. 2021 г.","125,52","125,03","125,73","124,55","18,63M","0,38%"
"08 июл. 2021 г.","125,04","124,03","125,60","124,02","23,79M","-1,13%"
"07 июл. 2021 г.","126,47","127,16","127,28","126,15","24,06M","0,22%"
"06 июл. 2021 г.","126,19","125,65","126,43","124,58","26,40M","0,74%"
"02 июл. 2021 г.","125,26","123,15","125,40","123,06","26,00M","2,30%"
"01 июл. 2021 г.","122,44","121,72","122,59","121,53","18,11M","0,29%"
"30 июн. 2021 г.","122,09","121,99","122,26","121,35","24,47M","-0,15%"
"29 июн. 2021 г.","122,27","122,67","123,02","121,69","23,11M","-0,22%"
"28 июн. 2021 г.","122,54","122,68","122,78","121,41","28,53M","0,02%"
"25 июн. 2021 г.","122,51","122,00","122,63","121,57","34,60M","0,01%"
"24 июн. 2021 г.","122,50","122,70","123,06","122,30","21,37M","0,30%"
"23 июн. 2021 г.","122,13","122,09","123,10","121,83","19,15M","-0,16%"
"22 июн. 2021 г.","122,33","121,75","122,40","121,06","22,39M","0,43%"
"21 июн. 2021 г.","121,81","120,50","122,00","119,90","27,41M","1,42%"
"18 июн. 2021 г.","120,11","121,37","121,60","120,02","46,12M","-1,34%"
"17 июн. 2021 г.","121,74","120,70","122,52","120,50","25,85M","0,80%"
"16 июн. 2021 г.","120,77","121,57","121,89","119,47","26,47M","-0,54%"
"15 июн. 2021 г.","121,42","122,45","122,78","121,06","21,56M","-0,84%"
"14 июн. 2021 г.","122,45","121,61","122,45","120,90","22,10M","0,77%"
"11 июн. 2021 г.","121,51","122,00","122,09","120,95","21,96M","-0,21%"
"10 июн. 2021 г.","121,76","120,35","121,80","120,19","25,91M","1,13%"
"09 июн. 2021 г.","120,40","120,57","120,64","119,84","17,94M","0,40%"
"08 июн. 2021 г.","119,92","120,60","120,98","119,74","24,24M","-0,16%"
"07 июн. 2021 г.","120,11","119,47","120,23","119,05","24,12M","0,36%"
"04 июн. 2021 г.","119,68","118,46","119,95","118,12","24,46M","1,96%"
"03 июн. 2021 г.","117,38","117,29","117,85","116,48","18,70M","-0,97%"
"02 июн. 2021 г.","118,53","119,46","119,68","117,62","21,16M","-0,45%"
"01 июн. 2021 г.","119,06","118,72","119,29","117,71","23,36M","1,04%"
"28 мая 2021 г.","117,84","118,72","118,80","117,64","21,49M","-0,25%"
"27 мая 2021 г.","118,13","119,45","119,45","117,81","35,22M","-0,75%"
"26 мая 2021 г.","119,02","118,33","119,45","118,32","21,57M","0,74%"
"25 мая 2021 г.","118,14","118,60","119,20","117,75","22,44M","0,08%"
"24 мая 2021 г.","118,05","115,74","118,28","115,60","31,83M","2,91%"
"21 мая 2021 г.","114,71","115,87","115,94","114,47","40,63M","-0,55%"
"20 мая 2021 г.","115,35","114,55","115,60","114,18","32,35M","1,56%"
"19 мая 2021 г.","113,58","111,42","113,75","111,27","23,68M","0,41%"
"18 мая 2021 г.","113,12","115,12","115,38","113,11","22,20M","-1,16%"
"17 мая 2021 г.","114,45","113,18","114,49","112,78","21,60M","0,47%"
"14 мая 2021 г.","113,92","112,93","114,24","112,50","32,00M","2,22%"
"13 мая 2021 г.","111,45","111,31","111,97","110,34","33,22M","1,31%"
"12 мая 2021 г.","110,01","111,31","112,40","109,68","46,38M","-3,07%"
"11 мая 2021 г.","113,50","112,15","114,01","111,70","34,19M","-0,95%"
"10 мая 2021 г.","114,59","116,41","116,55","114,23","30,91M","-2,56%"
"07 мая 2021 г.","117,60","118,19","118,56","117,31","28,90M","0,62%"
"06 мая 2021 г.","116,87","115,32","116,87","114,65","25,19M","0,98%"
"05 мая 2021 г.","115,74","116,43","116,75","115,41","26,64M","0,35%"
"04 мая 2021 г.","115,34","115,68","116,25","112,83","44,82M","-1,55%"
"03 мая 2021 г.","117,15","118,25","119,08","116,78","28,24M","-0,44%"
"30 апр. 2021 г.","117,67","118,40","119,09","117,33","44,86M","-1,65%"
"29 апр. 2021 г.","119,64","119,46","120,21","118,69","41,23M","1,43%"
"28 апр. 2021 г.","117,95","119,62","121,57","117,66","81,11M","2,97%"
"27 апр. 2021 г.","114,55","115,88","115,92","114,31","44,39M","-0,82%"
"26 апр. 2021 г.","115,50","115,23","116,23","114,87","32,04M","0,43%"
"23 апр. 2021 г.","115,00","113,35","115,31","113,06","29,11M","2,10%"
"22 апр. 2021 г.","112,63","113,77","114,44","112,02","24,15M","-1,13%"
"21 апр. 2021 г.","113,92","113,60","114,00","112,24","23,20M","-0,03%"
"20 апр. 2021 г.","113,95","114,87","114,95","112,86","22,29M","-0,47%"
"19 апр. 2021 г.","114,49","113,51","115,20","113,51","30,29M","0,31%"
"16 апр. 2021 г.","114,14","114,46","114,71","113,55","26,28M","-0,11%"
"15 апр. 2021 г.","114,26","113,10","114,80","112,56","29,17M","1,93%"
"14 апр. 2021 г.","112,10","113,37","113,37","111,80","21,00M","-0,55%"
"13 апр. 2021 г.","112,72","112,55","113,17","112,15","25,68M","0,44%"
"12 апр. 2021 г.","112,23","112,71","112,84","111,39","25,02M","-1,15%"
"09 апр. 2021 г.","113,53","112,27","113,70","111,86","26,15M","0,90%"
"08 апр. 2021 г.","112,52","113,20","113,59","112,15","28,66M","0,51%"
"07 апр. 2021 г.","111,95","110,66","112,22","110,66","24,13M","1,35%"
"06 апр. 2021 г.","110,46","110,55","111,40","110,09","35,24M","-0,44%"
"05 апр. 2021 г.","110,95","107,36","111,45","107,26","48,51M","4,19%"
"01 апр. 2021 г.","106,49","104,61","106,79","104,57","39,88M","3,26%"
"31 мар. 2021 г.","103,13","102,72","104,31","102,35","42,57M","0,79%"
"30 мар. 2021 г.","102,32","102,65","103,13","101,81","27,32M","0,03%"
"29 мар. 2021 г.","102,29","101,11","102,46","100,27","26,49M","1,04%"
"26 мар. 2021 г.","101,24","101,59","101,97","100,19","27,98M","-0,37%"
"25 мар. 2021 г.","101,62","101,45","102,28","99,80","35,62M","-0,01%"
"24 мар. 2021 г.","101,63","102,59","103,38","101,45","25,22M","-0,43%"
"23 мар. 2021 г.","102,07","102,00","103,21","101,40","28,51M","0,53%"
"22 мар. 2021 г.","101,53","101,38","102,42","100,70","33,54M","0,18%"
"19 мар. 2021 г.","101,35","101,49","101,85","100,15","46,07M","0,28%"
"18 мар. 2021 г.","101,07","102,41","103,44","100,96","31,71M","-2,92%"
"17 мар. 2021 г.","104,11","103,42","104,95","102,21","26,38M","-0,08%"
"16 мар. 2021 г.","104,19","103,30","105,68","102,96","31,90M","1,43%"
"15 мар. 2021 г.","102,72","102,25","102,75","101,39","26,21M","0,21%"
"12 мар. 2021 г.","102,50","103,82","103,88","101,62","33,82M","-2,41%"
"11 мар. 2021 г.","105,03","102,91","105,56","102,82","27,70M","3,16%"
"10 мар. 2021 г.","101,81","103,07","103,07","100,97","27,10M","-0,21%"
"09 мар. 2021 г.","102,02","102,49","103,20","101,78","33,92M","1,63%"
"08 мар. 2021 г.","100,38","104,20","105,69","100,26","36,87M","-4,26%"
"05 мар. 2021 г.","104,85","103,06","105,31","101,39","53,10M","3,10%"
"04 мар. 2021 г.","101,70","100,74","103,73","100,27","49,22M","1,12%"
"03 мар. 2021 г.","100,57","102,60","103,80","99,70","33,89M","-2,57%"
"02 мар. 2021 г.","103,22","103,24","104,74","102,83","25,56M","-0,25%"
"01 мар. 2021 г.","103,48","102,40","103,81","101,72","26,06M","2,35%"
"26 февр. 2021 г.","101,10","101,50","102,83","100,05","40,04M","0,30%"
"25 февр. 2021 г.","100,80","102,80","104,15","100,32","41,55M","-3,25%"
"24 февр. 2021 г.","104,19","101,50","104,42","101,38","22,61M","1,15%"
"23 февр. 2021 г.","103,01","100,70","103,62","99,51","34,66M","0,29%"
"22 февр. 2021 г.","102,71","102,68","104,02","102,40","29,47M","-1,66%"
"19 февр. 2021 г.","104,44","105,39","105,93","104,17","37,94M","-0,81%"
"18 февр. 2021 г.","105,29","105,25","106,10","104,67","22,57M","-0,60%"
"17 февр. 2021 г.","105,93","104,70","106,12","104,42","20,30M","0,38%"
"16 февр. 2021 г.","105,53","104,59","107,26","104,59","31,00M","0,74%"
"12 февр. 2021 г.","104,75","103,99","104,97","103,68","18,99M","0,30%"
"11 февр. 2021 г.","104,44","104,55","104,70","103,44","20,48M","0,12%"
"10 февр. 2021 г.","104,32","104,16","104,94","102,61","25,10M","0,53%"
"09 февр. 2021 г.","103,77","103,74","104,93","103,50","21,89M","-0,44%"
"08 февр. 2021 г.","104,23","105,00","105,75","103,17","28,83M","-0,20%"
"05 февр. 2021 г.","104,44","102,98","104,80","102,50","29,87M","1,71%"
"04 февр. 2021 г.","102,68","103,03","103,47","101,75","48,60M","-0,25%"
"03 февр. 2021 г.","102,94","103,28","105,33","100,68","97,88M","7,27%"
"02 февр. 2021 г.","95,96","95,66","97,47","95,32","66,33M","1,38%"
"01 февр. 2021 г.","94,65","92,23","95,78","92,23","40,25M","3,59%"
"29 янв. 2021 г.","91,37","91,70","92,38","90,08","44,53M","-1,39%"
"28 янв. 2021 г.","92,66","91,55","94,40","91,55","55,28M","1,88%"
"27 янв. 2021 г.","90,95","93,75","94,02","89,86","82,51M","-4,66%"
"26 янв. 2021 г.","95,40","94,30","95,79","93,81","31,46M","0,73%"
"25 янв. 2021 г.","94,71","95,64","96,09","92,96","50,59M","0,08%"
"22 янв. 2021 г.","94,63","94,57","95,22","93,82","32,74M","0,45%"
"21 янв. 2021 г.","94,21","94,68","96,60","93,97","58,66M","0,22%"
"20 янв. 2021 г.","94,00","91,32","94,99","90,98","64,15M","5,36%"
"19 янв. 2021 г.","89,22","87,15","90,19","86,64","41,66M","3,29%"
"15 янв. 2021 г.","86,38","86,45","87,38","85,59","31,44M","-0,20%"
"14 янв. 2021 г.","86,55","87,44","88,38","86,30","29,21M","-0,93%"
"13 янв. 2021 г.","87,36","86,37","87,82","86,37","23,43M","0,56%"
"12 янв. 2021 г.","86,87","87,27","88,39","85,82","29,53M","-1,07%"
"11 янв. 2021 г.","87,81","88,85","89,22","87,61","34,81M","-2,31%"
"08 янв. 2021 г.","89,89","88,86","89,97","88,06","35,48M","1,32%"
"07 янв. 2021 г.","88,72","86,34","88,89","86,34","41,94M","3,00%"
"06 янв. 2021 г.","86,14","85,01","87,20","84,81","46,59M","-0,99%"
"05 янв. 2021 г.","87,00","86,25","87,34","85,84","20,36M","0,80%"
"04 янв. 2021 г.","86,31","88,00","88,12","85,36","37,32M","-1,51%"
